Image Name,Label
data_progS24/train_processed/04290.npy,3
data_progS24/train_processed/15174.npy,4
data_progS24/train_processed/15408.npy,5
data_progS24/train_processed/01462.npy,1
data_progS24/train_processed/03829.npy,1
data_progS24/train_processed/22170.npy,4
data_progS24/train_processed/17705.npy,4
data_progS24/train_processed/05098.npy,5
data_progS24/train_processed/13585.npy,4
data_progS24/train_processed/24214.npy,4
data_progS24/train_processed/14096.npy,5
data_progS24/train_processed/14898.npy,4
data_progS24/train_processed/02229.npy,4
data_progS24/train_processed/06036.npy,2
data_progS24/train_processed/24458.npy,5
data_progS24/train_processed/22982.npy,3
data_progS24/train_processed/24716.npy,3
data_progS24/train_processed/15103.npy,3
data_progS24/train_processed/23174.npy,1
data_progS24/train_processed/09314.npy,4
data_progS24/train_processed/21472.npy,5
data_progS24/train_processed/17510.npy,5
data_progS24/train_processed/06738.npy,3
data_progS24/train_processed/08287.npy,4
data_progS24/train_processed/20661.npy,4
data_progS24/train_processed/18982.npy,3
data_progS24/train_processed/21196.npy,3
data_progS24/train_processed/03261.npy,5
data_progS24/train_processed/15479.npy,2
data_progS24/train_processed/09425.npy,4
data_progS24/train_processed/11943.npy,5
data_progS24/train_processed/20807.npy,4
data_progS24/train_processed/03696.npy,2
data_progS24/train_processed/22505.npy,4
data_progS24/train_processed/01816.npy,3
data_progS24/train_processed/03544.npy,2
data_progS24/train_processed/09677.npy,3
data_progS24/train_processed/21672.npy,1
data_progS24/train_processed/21383.npy,4
data_progS24/train_processed/00734.npy,1
data_progS24/train_processed/00295.npy,2
data_progS24/train_processed/20901.npy,3
data_progS24/train_processed/15044.npy,3
data_progS24/train_processed/22225.npy,4
data_progS24/train_processed/13604.npy,2
data_progS24/train_processed/24575.npy,4
data_progS24/train_processed/04332.npy,4
data_progS24/train_processed/09567.npy,1
data_progS24/train_processed/05370.npy,2
data_progS24/train_processed/14892.npy,5
data_progS24/train_processed/03827.npy,2
data_progS24/train_processed/07059.npy,1
data_progS24/train_processed/06382.npy,2
data_progS24/train_processed/24883.npy,3
data_progS24/train_processed/05308.npy,4
data_progS24/train_processed/05664.npy,3
data_progS24/train_processed/05446.npy,4
data_progS24/train_processed/23261.npy,3
data_progS24/train_processed/23273.npy,2
data_progS24/train_processed/00715.npy,5
data_progS24/train_processed/10686.npy,1
data_progS24/train_processed/09817.npy,1
data_progS24/train_processed/04799.npy,4
data_progS24/train_processed/12606.npy,1
data_progS24/train_processed/04565.npy,5
data_progS24/train_processed/21545.npy,3
data_progS24/train_processed/06415.npy,4
data_progS24/train_processed/00036.npy,1
data_progS24/train_processed/12713.npy,2
data_progS24/train_processed/05955.npy,5
data_progS24/train_processed/04451.npy,1
data_progS24/train_processed/16930.npy,2
data_progS24/train_processed/00667.npy,3
data_progS24/train_processed/22002.npy,5
data_progS24/train_processed/06132.npy,3
data_progS24/train_processed/15894.npy,2
data_progS24/train_processed/13007.npy,1
data_progS24/train_processed/14742.npy,5
data_progS24/train_processed/02102.npy,4
data_progS24/train_processed/09929.npy,1
data_progS24/train_processed/07642.npy,4
data_progS24/train_processed/13549.npy,4
data_progS24/train_processed/05284.npy,1
data_progS24/train_processed/07741.npy,3
data_progS24/train_processed/20551.npy,5
data_progS24/train_processed/19344.npy,1
data_progS24/train_processed/06052.npy,4
data_progS24/train_processed/07720.npy,1
data_progS24/train_processed/16806.npy,5
data_progS24/train_processed/19741.npy,2
data_progS24/train_processed/02476.npy,1
data_progS24/train_processed/12972.npy,3
data_progS24/train_processed/24663.npy,2
data_progS24/train_processed/00157.npy,5
data_progS24/train_processed/06859.npy,4
data_progS24/train_processed/03255.npy,4
data_progS24/train_processed/15393.npy,3
data_progS24/train_processed/08512.npy,3
data_progS24/train_processed/14560.npy,4
data_progS24/train_processed/22172.npy,1
data_progS24/train_processed/16911.npy,2
data_progS24/train_processed/19528.npy,1
data_progS24/train_processed/19463.npy,2
data_progS24/train_processed/03071.npy,2
data_progS24/train_processed/15822.npy,4
data_progS24/train_processed/07569.npy,5
data_progS24/train_processed/00396.npy,5
data_progS24/train_processed/17909.npy,3
